event_id,user_id,feature_id,event_timestamp,session_id,event_type
f5171845-c5c6-439f-b7b9-636c1e6e77cb,U1000,F2,2024-03-02 08:46:00,S703,click
ac0da406-ef46-4186-a48c-170dd537f5f2,U1000,F5,2024-04-07 16:38:00,S389,click
864b2f82-80e6-4814-9a14-268c892315af,U1000,F4,2024-01-13 06:18:00,S332,click
75b445f7-b1ff-4186-93ac-094b0a4483a4,U1000,F3,2024-02-16 05:19:00,S114,click
b41886ee-cc08-4e73-9f7f-46082a7f4d4f,U1000,F1,2024-03-31 17:08:00,S380,use
474e79c6-172d-49bc-9c01-9d0a6af5579d,U1000,F4,2024-01-06 01:35:00,S399,use
7a8038e5-6169-419b-8a17-09fb2c2132d2,U1000,F3,2024-03-30 04:40:00,S989,complete
62bae9b8-8273-4cb2-a4b9-da8c7e650f1f,U1000,F3,2024-04-06 15:06:00,S993,complete
1e3452da-171e-4a92-a0a1-1d8145f07419,U1000,F5,2024-01-02 18:18:00,S580,click
16acbb75-d1f2-451d-bce9-15075e2b3818,U1000,F3,2024-03-02 14:21:00,S288,view
e84c4405-754a-4ad5-8fe6-24cafd4603d0,U1000,F1,2024-01-07 08:55:00,S589,view
81df4adb-68e8-4bca-b14d-ac5b342a39db,U1000,F2,2024-01-15 02:25:00,S603,use
6ad7d90d-8380-4863-b37a-f026a021470f,U1000,F1,2024-01-10 18:40:00,S802,view
8859a3d0-365f-4d79-8b6a-93af32f4c7c0,U1000,F1,2024-01-07 04:09:00,S930,use
b5da350c-56c8-4894-80ff-0f8699ec39ca,U1000,F3,2024-03-13 09:05:00,S354,view
ec972a19-a50a-46f2-870b-d2d5b25b7d89,U1000,F4,2024-01-16 17:48:00,S526,complete
a95c3f51-7df0-43ab-b26b-80077d178deb,U1000,F4,2024-03-18 19:50:00,S733,click
25502f8f-2fd1-48c0-be25-c3a98fc5f812,U1000,F1,2024-01-29 16:24:00,S561,click
16dde247-a003-4d04-87c0-cc4f99a0e1cc,U1000,F2,2024-04-26 14:19:00,S980,view
8015355e-d477-4d13-9670-13966d69f5be,U1000,F4,2024-03-16 13:19:00,S682,complete
efa668cd-dfcb-4a06-a65f-09b8f053760e,U1000,F2,2024-03-20 01:39:00,S857,view
15ea2542-b65a-4a53-a8db-47c6f5d9944f,U1000,F3,2024-01-13 06:40:00,S316,use
540b4174-1322-4663-9626-3840a5720b2a,U1000,F3,2024-02-03 21:05:00,S260,complete
fdada53e-792e-4469-87c8-39dcb42809f3,U1000,F5,2024-01-31 05:35:00,S176,click
3cc4b42f-cd84-4c86-8035-241afc52b59f,U1000,F2,2024-01-21 00:26:00,S561,use
285b2435-7f65-41eb-bd3d-b543121c41db,U1000,F4,2024-03-29 19:30:00,S398,click
e05a6c5b-801f-411b-aa3f-1b7d80bc9157,U1000,F1,2024-01-05 07:18:00,S823,click
167827bd-eb3c-439c-9a02-91c646ecd26e,U1000,F4,2024-02-06 22:55:00,S564,use
c1b4f310-57f7-421e-8b92-eaa0b7ee1077,U1000,F4,2024-01-10 21:14:00,S370,complete
c9e1ff7d-da9a-4506-b68e-640713fcb606,U1000,F2,2024-04-10 20:37:00,S777,click
3e477736-6115-4e4c-af87-99a68f1a4946,U1000,F5,2024-04-12 06:27:00,S217,click
518bf4f5-5173-40eb-9d29-8eba432cd715,U1000,F1,2024-03-10 07:41:00,S252,view
208d1712-79e7-4799-8493-8c48aac5b8b4,U1000,F3,2024-04-26 08:52:00,S245,click
52e19019-3106-4f32-8bae-b032114d74bd,U1001,F1,2024-01-08 05:50:00,S414,view
3c9ea3ef-7ecd-4b48-bf15-9b03017202fe,U1001,F5,2024-03-17 23:52:00,S682,use
d3dae772-3a1e-4b81-bd85-482ebb4e72cc,U1001,F2,2024-04-27 09:28:00,S227,use
007393d4-1b09-4102-905b-a9d6485d4687,U1001,F3,2024-02-29 22:19:00,S816,complete
f1365e56-e3eb-4010-ba6d-e331af4af49f,U1001,F1,2024-02-21 08:32:00,S652,view
787a1f44-999b-4c2f-a9fa-2571635554c8,U1001,F1,2024-03-04 14:05:00,S712,view
7ab89244-4c3e-4889-baeb-cefb789dae22,U1001,F2,2024-01-06 13:47:00,S430,click
897ce861-f0da-4754-b9fa-8a05aef14c8a,U1001,F5,2024-03-18 08:01:00,S193,complete
dd586c14-82e3-4f31-925b-02205b12cfed,U1001,F4,2024-01-30 21:53:00,S981,click
faa94c49-6943-4927-a407-2cadbf20ddce,U1001,F2,2024-03-14 18:01:00,S883,view
70f7ec82-051f-4a6a-abc1-14379740485a,U1001,F1,2024-03-27 08:36:00,S141,click
0bc08b8f-55ac-4b2a-8689-d1662d00882f,U1001,F5,2024-04-07 05:30:00,S631,view
ac48e51d-6899-4521-a239-49304454ffc5,U1002,F1,2024-02-26 08:11:00,S699,click
522ad68b-09a4-4caf-84c7-fdb1a6fee292,U1002,F2,2024-02-25 20:52:00,S603,complete
e8a45b39-6539-4352-a854-1dc9dd33e963,U1002,F4,2024-01-12 15:22:00,S518,complete
c07ee7a7-9451-4cf5-991f-63ed9800d331,U1002,F4,2024-02-12 10:42:00,S207,use
66c2d95a-084d-4c30-b7ae-3a737485f58c,U1002,F5,2024-04-19 05:21:00,S521,use
c8ff7fbc-98a5-4d90-a481-5c77eaaec577,U1002,F1,2024-03-29 15:18:00,S778,view
50c16527-e286-4a92-85ab-5e282eaecd2a,U1002,F1,2024-04-30 12:52:00,S878,view
cfdc311c-e1e2-480a-9bef-70a63afa93fe,U1002,F1,2024-03-11 01:29:00,S190,click
49e2f3e0-2fa5-41ba-8472-f5736f6a805a,U1002,F5,2024-02-10 08:20:00,S218,complete
5952d4f2-4fc2-46d6-99a5-db0b2b7eed76,U1002,F3,2024-04-08 12:55:00,S626,click
2c1e7757-dcf0-47fd-b400-3f39b1c81e48,U1002,F4,2024-04-15 00:42:00,S990,click
fa56c116-b7a0-44f0-9886-3a777c8e6c15,U1002,F4,2024-03-10 14:26:00,S155,click
c824bd32-db3e-4bfb-8739-69e3d869a984,U1002,F4,2024-01-25 16:23:00,S737,click
d5377475-4ded-4068-8de9-909a051b15d1,U1002,F1,2024-04-06 15:40:00,S552,view
59c9bbf7-b203-4db8-9152-83e145c1e1fe,U1002,F4,2024-04-07 01:13:00,S373,use
bbdea2e7-a814-4fa0-8bdb-cf340f142e04,U1002,F2,2024-03-11 04:59:00,S394,use
9bf66b62-cee9-42ed-83f4-879e5f4987e1,U1002,F3,2024-02-26 22:31:00,S224,complete
f375777c-cd4d-4b64-b6c1-7aad20db018a,U1002,F3,2024-01-04 20:38:00,S918,use
bcf977eb-df4e-4606-af3a-2b1e0b10fe17,U1002,F3,2024-01-31 22:10:00,S418,view
77c77370-aded-4d06-bd0a-fb256246b14f,U1002,F4,2024-03-11 00:35:00,S517,view
22288f0d-ee14-4f92-883e-6ec065463a50,U1002,F2,2024-01-12 07:53:00,S216,complete
ca19d390-03ad-49d1-95a5-51a7131afddd,U1002,F1,2024-02-29 03:41:00,S952,click
8522c6ae-74ee-44bf-a231-a02304a42a5f,U1002,F3,2024-01-20 15:59:00,S833,click
37074654-567c-40cd-abf5-8ee3bb739c2b,U1002,F2,2024-02-07 16:45:00,S379,view
e23b5da1-8e96-44cc-96a0-66f695b95634,U1002,F3,2024-02-23 15:30:00,S349,click
153e8a33-4433-4c3d-86ef-a3293966e93d,U1002,F2,2024-02-28 17:09:00,S492,complete
a4b905fe-40af-4d02-a177-0b269a8aa5ca,U1002,F5,2024-01-25 19:32:00,S864,click
5118ea48-6a9a-4e63-9ce0-177a271dbc2d,U1002,F3,2024-04-22 04:55:00,S171,use
